-32456	3	-5
-32438	3	-5
-32420	3	-5
-32403	4	-6
-32384	5	-7
-32367	7	-9
-32350	9	-11
-32331	11	-13
-32311	13	-14
-32291	15	-16
-32272	17	-19
-32251	19	-21
-32232	20	-21
-32212	22	-22
-32193	23	-23
-32173	23	-23
-32153	23	-23
-32134	23	-23
-32113	23	-23
-32094	23	-23
-32074	23	-23
-32055	23	-22
-32034	23	-21
-32015	23	-20
-31995	23	-20
-31975	23	-19
-31955	23	-19
-31936	23	-19
-31916	23	-18
-31896	23	-19
-31877	23	-19
-31857	23	-19
-31837	23	-19
-31817	23	-20
-31798	23	-19
-31777	23	-20
-31758	23	-20
-31738	23	-20
-31718	23	-20
-31698	23	-20
-31679	23	-20
-31660	23	-20
-31639	23	-20
-31620	23	-20
-31600	23	-20
-31580	23	-20
-31560	23	-20
-31541	23	-20
-31520	23	-20
-31501	23	-20
-31481	23	-20
-31462	23	-20
-31441	23	-20
-31422	23	-20
-31402	23	-20
-31382	23	-20
-31363	23	-20
-31343	23	-20
-31323	23	-20
-31303	23	-20
-31284	23	-20
-31264	23	-20
-31244	23	-20
-31224	23	-20
-31205	23	-20
-31184	23	-20
-31165	23	-20
-31145	22	-20
-31126	22	-20
-31106	22	-20
-31086	22	-21
-31067	22	-21
-31046	22	-21
-31027	23	-21
-31007	26	-21
-30987	28	-22
-30967	31	-22
-30948	32	-23
-30928	32	-23
-30908	32	-22
-30888	32	-22
-30869	32	-22
-30848	32	-22
-30829	32	-22
-30810	32	-22
-30790	32	-22
-30770	32	-22
-30750	32	-22
-30731	32	-22
-30710	32	-22
-30691	32	-22
-30671	32	-22
-30651	32	-22
-30631	32	-21
-30612	32	-20
-30592	32	-18
-30572	32	-13
-30553	32	-8
-30534	32	-6
-30515	32	-5
-30496	32	-5
-30478	32	-6
-30459	32	-6
-30440	32	-6
-30421	32	-5
-30403	30	-4
-30384	27	-4
-30365	24	-5
-30347	20	-5
-30328	16	-7
-30309	11	-7
-30290	6	-7
-30273	2	-8
-30255	-2	-8
-30236	-6	-8
-30218	-10	-9
-30198	-14	-10
-30177	-16	-11
-30156	-18	-10
-30136	-18	-10
-30114	-18	-11
-30094	-18	-10
-30073	-18	-10
-30052	-18	-11
-30031	-19	-11
-30011	-18	-11
-29990	-18	-10
-29969	-18	-11
-29948	-18	-11
-29928	-18	-11
-29906	-18	-11
-29886	-18	-12
-29865	-18	-13
-29844	-18	-13
-29823	-19	-13
-29803	-18	-14
-29781	-18	-15
-29761	-18	-16
-29741	-18	-16
-29719	-18	-18
-29699	-18	-20
-29678	-19	-21
-29657	-18	-24
-29636	-18	-26
-29616	-18	-29
-29595	-18	-34
-29574	-19	-38
-29553	-19	-43
-29533	-19	-48
-29511	-19	-53
-29491	-19	-59
-29470	-19	-65
-29449	-19	-72
-29428	-18	-80
-29408	-17	-87
-29386	-18	-91
-29366	-17	-94
-29345	-17	-94
-29324	-17	-94
-29303	-17	-94
-29283	-17	-93
-29262	-17	-93
-29241	-17	-93
-29220	-17	-93
-29200	-17	-93
-29178	-17	-93
-29158	-17	-93
-29137	-17	-94
-29116	-17	-94
-29095	-17	-94
-29075	-17	-93
-29053	-17	-94
-29033	-17	-94
-29012	-17	-93
-28991	-17	-94
-28970	-17	-94
-28950	-17	-93
-28930	-17	-93
-28908	-16	-94
-28888	-15	-94
-28867	-14	-94
-28846	-14	-95
-28825	-14	-96
-28805	-14	-96
-28783	-14	-97
-28763	-14	-97
-28742	-14	-98
-28721	-14	-98
-28700	-14	-98
